Model,VIN,Level,Brand,Series,LaunchYr,LaunchMo,MSRP,Mileage,Accident,PurchasedDate,Insurance,Renovation,Cost,SalesPrice
5系 523Li 2.5 手自一体 豪华型,LBVFP390XCSE74590,CBM0225A0068,宝马,5系,2011,11,494600,70486,No,2015/4/3,3900,880,292520,326000
5系 523Li 2.5 手自一体 豪华型,LBVFP3902CSF21238,CBM0225A0068,宝马,5系,2011,11,494600,173753,No,2015/4/13,9600,480,238020,265000
5系 523Li 2.5 手自一体 豪华型,LBVFP3903BSE36228,CBM0225A0061,宝马,5系,2010,8,489600,50314,No,2015/5/27,1400,960,258240,288000
5系 523Li 2.5 手自一体 豪华型,LBVFP3903BSE36228,CBM0225A0061,宝马,5系,2010,8,489600,50595,No,2015/6/15,2740,960,257340,287000
5系 523Li 2.5 手自一体 豪华型,LBVFP3906BSE69546,CBM0225A0061,宝马,5系,2010,8,489600,138868,No,2015/7/3,215680,14780,219220,260000
唯雅诺 唯雅诺 3.0 手自一体 礼遇版,LB1WA5B3XE8040928,CFB0230A0005,奔驰,唯雅诺,2013,4,489000,6782,No,2015/6/3,,1040,322960,360000
3系 328Li xDrive 2.0T 手自一体 豪华设计套装,LBV3M8101EMA92752,CBM0120A0105,宝马,3系,2014,5,486800,5478,No,2015/6/9,,960,305040,340000
5系 523Li 2.5 手自一体 领先型,LBVNU39008SB66923,CBM0225A0022,宝马,5系,2008,3,486600,41500,No,2015/2/9,2690,15460,146540,180000
5系 523Li 2.5 手自一体 领先型,LBVNU39028SA97863,CBM0225A0022,宝马,5系,2008,3,486600,199123,No,2015/3/11,78519,39530,81970,135000
Q5 Q5 2.0TFSI 手自一体 40TFSI 舒适型,LFV3B28RXF3005955,CFA0520A0044,奥迪,Q5,2014,12,485900,753,No,2015/5/18,,320,359680,400000
Q5 Q5 2.0TFSI 手自一体 舒适型,LFV3B28R6C3023106,CFA0520A0016,奥迪,Q5,2011,11,481900,102901,No,2015/6/2,25748,2260,267740,300000
5系 523Li 2.5 手自一体 典雅型,LBVNU150X7SB36563,CBM0225A0012,宝马,5系,2007,3,477600,166363,No,2015/6/7,66805,2120,119380,135000
5系 523Li 2.5 手自一体 典雅型,LBVNU150X7SB36563,CBM0225A0012,宝马,5系,2007,3,477600,166400,No,2015/6/13,60540,2120,118480,134000
A6 A6L 2.4 无级 舒适型,LFV4A24F6A3033859,CFA0324C0059,奥迪,A6,2009,8,475800,179330,No,2015/2/10,25548,24820,155180,200000
Q5 Q5 2.0TFSI 手自一体 舒适型,LFV3B28R4B3010918,CFA0520A0008,奥迪,Q5,2010,11,475800,112033,No,2015/6/4,20976,2160,231840,260000
Q5 Q5 2.0TFSI 手自一体 舒适型,LFV3B28R2B3050575,CFA0520A0008,奥迪,Q5,2010,11,475800,70281,No,2015/6/5,,640,274760,306000
A6 A6L 2.4 无级 舒适型,LFV4A24F6A3111556,CFA0324C0059,奥迪,A6,2009,8,475800,74162,No,2015/6/14,8740,1890,205110,230000
Q5 Q5 2.0TFSI 手自一体 舒适型,LFV3B28R8B3011473,CFA0520A0008,奥迪,Q5,2010,11,475800,78495,No,2015/6/17,14219,660,246840,275000
Q5 Q5 2.0TFSI 手自一体 舒适型,LFV3B28R5B3003590,CFA0520A0008,奥迪,Q5,2010,11,475800,140191,No,2015/6/19,770,1900,228500,256000
A6 A6L 2.4 无级 舒适型,LFV4A24F4A3031804,CFA0324C0059,奥迪,A6,2009,8,475800,133004,No,2015/6/21,8350,2300,175000,197000
A6 A6L 2.5FSI 无级 30FSI 舒适型,LFV5A24G0C3033288,CFA0325C0004,奥迪,A6,2012,3,472600,49224,No,2015/6/14,605,1070,277930,310000
A6 A6L 2.5FSI 无级 30FSI 舒适型,LFV5A24G9C3012066,CFA0325C0004,奥迪,A6,2012,3,472600,46569,No,2015/6/30,,1680,275520,308000
5系 523Li 2.5 手自一体 领先型,LBVPZ3107ASD84627,CBM0225A0059,宝马,5系,2010,1,468600,111663,No,2015/5/10,1100,2320,163280,184000
A6 A6L 2.4 无级 舒适型,LFV4A24F773004041,CFA0324C0037,奥迪,A6,2005,6,468400,265395,No,2015/6/11,33221,6100,88400,105000
5系 525Li 2.0T 手自一体 领先型,LBV5S3108FSK39368,CBM0220A0036,宝马,5系,2013,9,466600,8094,No,2015/6/20,,1300,347900,388000
E级 E 200 L CGI 1.8T 手自一体 优雅型,LE4HG4JB9BL046055,CBZ0118A0011,奔驰,E级,2011,3,465000,55152,No,2015/5/29,,1460,214540,240000
3系 325i 2.5 手自一体 领先型,LBVVB59037SA76701,CBM0125A0014,宝马,3系,2006,11,461000,104901,No,2015/7/6,21103,1740,99060,112000
5系 525Li 2.0T 手自一体 领先型,LBVCU3101DSH14098,CBM0220A0012,宝马,5系,2012,8,459600,23643,No,2015/3/15,,880,318620,355000
5系 523Li 2.5 手自一体 领先型,LBVFP3902CSF41781,CBM0225A0069,宝马,5系,2011,11,459600,38500,No,2015/3/21,7800,500,274900,306000
5系 525Li 2.0T 手自一体 领先型,LBVCU3102DSE13680,CBM0220A0012,宝马,5系,2012,8,459600,25,No,2015/4/21,20200,1460,322540,360000
5系 523Li 2.5 手自一体 领先型,LBVFP3901CSF37740,CBM0225A0069,宝马,5系,2011,11,459600,111178,No,2015/5/22,46709,780,265620,296000
5系 523Li 2.5 手自一体 领先型,LBVFP3905CSF22898,CBM0225A0069,宝马,5系,2011,11,459600,88111,No,2015/5/24,,480,274020,305000
A6 A6 2.4 无级 豪华舒适型,LFVBA24B043025670,CFA0324C0011,奥迪,A6,2003,10,459600,305212,No,2015/5/28,,4760,26740,35000
5系 523Li 2.5 手自一体 领先型,LBVFP3909CSF31779,CBM0225A0069,宝马,5系,2011,11,459600,84061,No,2015/6/7,,2500,276500,310000
5系 525Li 2.0T 手自一体 领先型,LBVCU3108DSG17657,CBM0220A0012,宝马,5系,2012,8,459600,54258,No,2015/6/21,,1660,308840,345000
5系 523Li 2.5 手自一体 领先型,LBVFP3902CSF37746,CBM0225A0069,宝马,5系,2011,11,459600,67430,No,2015/6/27,7100,1080,286920,320000
A6 A6 2.8 手动 豪华舒适型,LFVBA14B543035590,CFA0328M0006,奥迪,A6,2002,9,453600,155339,No,2015/6/12,,5040,30960,40000
5系 523Li 2.5 手自一体 领先型,LBVFP3905BSE49580,CBM0225A0062,宝马,5系,2010,10,449600,26602,No,2015/3/21,,0,274500,305000
5系 523Li 2.5 手自一体 领先型,LBVFP3908BSE48441,CBM0225A0062,宝马,5系,2010,10,449600,51480,No,2015/3/21,105302,1360,268640,300000
5系 523Li 2.5 手自一体 领先型,LBVFP3903BSE31109,CBM0225A0062,宝马,5系,2010,10,449600,108136,No,2015/5/20,30300,1280,194920,218000
5系 523Li 2.5 手自一体 领先型,LBVFP3905BSE42046,CBM0225A0062,宝马,5系,2010,10,449600,49124,No,2015/6/13,13975,1280,265120,296000
唯雅诺 唯雅诺 3.0 手自一体 舒适版,LB1WA5B32D8036564,CFB0230A0001,奔驰,唯雅诺,2013,4,449000,68009,No,2015/5/31,,960,299640,334000
A6 A6L 2.0TFSI 无级 舒适型,LFV3A24G1C3072737,CFA0320C0020,奥迪,A6,2012,3,446600,86991,No,2015/6/15,1519,2160,254340,285000
A6 A6L 2.4 无级 技术型,LFV4A24F5B3102767,CFA0324C0061,奥迪,A6,2011,1,441000,195960,No,2015/6/20,47890,7360,145640,170000
唯雅诺 唯雅诺 2.5 手自一体 尊贵版,LB1WA5883A8010540,CFB0225A0004,奔驰,唯雅诺,2010,4,438000,40263,No,2015/4/9,,320,186880,208000
唯雅诺 唯雅诺 2.5 手自一体 尊贵版,LB1WA5888A8010632,CFB0225A0004,奔驰,唯雅诺,2010,4,438000,198120,No,2015/5/27,,19060,133940,170000
唯雅诺 唯雅诺 2.5 手自一体 尊贵版,LB1WA5887A8000920,CFB0225A0004,奔驰,唯雅诺,2010,4,438000,106536,No,2015/6/26,,4360,164840,188000
5系 520Li 2.0T 手自一体 典雅型(改款),LBV5S110XFSK50182,CBM0220A0045,宝马,5系,2014,2,435600,14299,No,2015/6/22,4000,2060,328240,367000
5系 520Li 2.0T 手自一体 典雅型,LBV5S1104ESH59184,CBM0220A0022,宝马,5系,2013,9,435600,39870,No,2015/6/29,,960,319440,356000
S80 S80L 2.5T 手自一体 智雅版,LVSHGFAJ99F006997,CWV0225A0002,沃尔沃,S80,2009,3,429800,83543,No,2015/3/2,18922,1300,103100,116000
汉兰达 汉兰达 3.5 手自一体 四驱7座至尊版,LVGES46A8BG032046,CGT0335A0012,丰田,汉兰达,2009,5,429800,112611,No,2015/4/19,,880,190820,213000
5系 520Li 2.5 手自一体 典雅型,LBVFP1901CSF68135,CBM0225A0067,宝马,5系,2011,11,428600,75197,No,2015/3/6,36838,1380,292920,327000
5系 520Li 2.5 手自一体 典雅型,LBVFP1901CSF68135,CBM0225A0067,宝马,5系,2011,11,428600,74000,No,2015/4/30,16188,1380,292920,327000
5系 520Li 2.5 手自一体 典雅型,LBVFP1901CSF68135,CBM0225A0067,宝马,5系,2011,11,428600,74000,No,2015/4/30,16188,1380,292920,327000
5系 520Li 2.0T 手自一体 典雅型,LBVCU1109DSG44354,CBM0220A0011,宝马,5系,2012,8,428600,67634,No,2015/5/29,3100,960,291540,325000
5系 520Li 2.5 手自一体 典雅型,LBVFP1905CSF67781,CBM0225A0067,宝马,5系,2011,11,428600,58059,No,2015/6/1,,2210,301990,338000
5系 520Li 2.5 手自一体 典雅型,LBVFP1908CSE62684,CBM0225A0067,宝马,5系,2011,11,428600,81226,No,2015/6/14,,1620,263880,295000
5系 520Li 2.5 手自一体 典雅型,LBVFP1902CSE93865,CBM0225A0067,宝马,5系,2011,11,428600,86956,No,2015/6/23,8200,2220,276780,310000
皇冠 皇冠 3.0 手自一体 Royal Saloon,LFMBDK4B3A0021783,CFT0930A0080,丰田,皇冠,2010,9,427800,104436,No,2015/3/1,3797,0,162000,180000
Q5 Q5 2.0TFSI 手自一体 技术型,LFV3B28R1C3007685,CFA0520A0015,奥迪,Q5,2011,11,427600,131442,No,2015/3/20,32712,1200,229200,256000
Q5 Q5 2.0TFSI 手自一体 技术型,LFV3B28RXC3072762,CFA0520A0015,奥迪,Q5,2011,11,427600,32306,No,2015/6/24,4680,1380,274020,306000
A6 A6L 2.4 手动,LFV4A14F363012355,CFA0324M0017,奥迪,A6,2005,1,425500,169351,No,2015/5/21,8287,2950,76250,88000
A6 A6L 2.4 无级 技术型,LFV4A24FX93030538,CFA0324C0055,奥迪,A6,2008,9,424500,155222,No,2015/5/22,5400,1240,163460,183000
Q5 Q5 2.0TFSI 手自一体 技术型,LFV3B28R4A3031251,CFA0520A0003,奥迪,Q5,2010,11,423800,94727,No,2015/5/28,79205,1590,232410,260000
5系 520Li 2.0 手自一体 豪华型,LBVPZ1109ASD78011,CBM0220A0004,宝马,5系,2009,8,423600,113695,No,2015/3/8,21723.5,2580,163920,185000
5系 520Li 2.0 手自一体 豪华型,LBVPZ1107ASE01818,CBM0220A0004,宝马,5系,2009,8,423600,84984,No,2015/3/24,,16860,154140,190000
5系 520Li 2.0 手自一体 豪华型,LBVPZ1105ASE01980,CBM0220A0004,宝马,5系,2009,8,423600,96327,No,2015/6/8,80766,1990,160010,180000
5系 520Li 2.0 手自一体 豪华型,LBVPZ1100ASE00932,CBM0220A0004,宝马,5系,2009,8,423600,101866,No,2015/6/10,12870,1720,158480,178000
5系 520Li 2.0 手自一体 豪华型,LBVPZ1100ASE00932,CBM0220A0004,宝马,5系,2009,8,423600,102069,No,2015/6/26,12870,6700,150800,175000
5系 520Li 2.5 手自一体 典雅型,LBVFP1900BSE20122,CBM0225A0060,宝马,5系,2010,12,418600,149334,No,2015/6/11,2300,1120,229280,256000
GLK级 GLK 300 4MATIC 3.0 手自一体 动感型,LE4GG8BB3DL226443,CBZ0330A0007,奔驰,GLK级,2012,10,418000,45000,No,2015/3/21,,0,283500,315000
A6 A6L 2.0TFSI 无级 舒适型,LFV3A24F9B3039653,CFA0320C0015,奥迪,A6,2011,1,415200,68730,No,2015/7/6,1730,2120,182380,205000
5系 520Li 2.0 手自一体 领先型,LBVNT17039SB94825,CBM0220A0001,宝马,5系,2009,6,412600,120538,No,2015/3/21,27334,1840,146660,165000
5系 520Li 2.0 手自一体 领先型,LBVNT17069SB99565,CBM0220A0001,宝马,5系,2009,6,412600,141421,No,2015/7/2,,8000,137800,162000
3系 320Li 2.0T 手自一体 风尚设计套装(改款),LBV3M2105EMC23338,CBM0120A0080,宝马,3系,2013,3,410600,33749,No,2015/6/24,,400,260600,290000
A6 A6L 2.0TFSI 无级 标准型,LFV3A24G2C3054537,CFA0320C0019,奥迪,A6,2012,3,409800,85033,No,2015/6/2,3206,640,251360,280000
A6 A6L 2.0TFSI 无级 标准型,LFV3A24G0D3119905,CFA0320C0021,奥迪,A6,2012,3,409800,53257,No,2015/6/25,8650,1320,266880,298000
3系 320Li 2.0T 手自一体 风尚型,LBV3M2102DMC08603,CBM0120A0055,宝马,3系,2012,7,405000,10000,No,2015/5/1,,0,252000,280000
3系 320Li 2.0T 手自一体 风尚型,LBV3M2106EMA04839,CBM0120A0074,宝马,3系,2012,7,405000,15000,No,2015/6/3,,0,252000,280000
3系 320Li 2.0T 手自一体 豪华设计套装(改款),LBV3M2109EMC61641,CBM0120A0079,宝马,3系,2013,3,404600,13304,No,2015/6/9,7270,960,264540,295000
GL8 GL8 豪华商务车 3.0 手自一体 XT 旗舰版,LSGUA83B1EE021674,CGB0230A0104,别克,GL8,2014,4,399900,2119,No,2015/2/28,,0,310500,345000
GL8 GL8 豪华商务车 3.0 手自一体 XT旗舰版,LSGUA83B3DE032352,CGB0230A0100,别克,GL8,2013,1,399900,98594,No,2015/3/13,2200,920,264580,295000
GL8 GL8 豪华商务车 3.0 手自一体 XT旗舰版,LSGUA83B5DE058922,CGB0230A0100,别克,GL8,2013,1,399900,17148,No,2015/4/22,750,920,282580,315000
GL8 GL8 豪华商务车 3.0 手自一体 XT 旗舰版,LSGUA83B9EE042661,CGB0230A0104,别克,GL8,2014,4,399900,4000,No,2015/7/3,,3980,293020,330000
GL8 GL8 豪华商务车 3.0 手自一体 XT 旗舰版,LSGUA83B1EE021674,CGB0230A0104,别克,GL8,2014,4,399900,4174,No,2015/7/3,,3440,293560,330000
A6 A6L 2.0T 无级 标准型,LFV3A24F883057926,CFA0320C0009,奥迪,A6,2007,9,399800,163843,No,2015/6/16,17177,2490,87510,100000
X1 X1 xDrive20i 2.0T 手自一体 豪华型,LBVVZ5100CMA02271,CBM0320A0004,宝马,X1,2012,3,399000,32070,No,2015/3/11,24430,480,239820,267000
3系 320Li 2.0T 手自一体 豪华型,LBV3M2102DMC08603,CBM0120A0058,宝马,3系,2012,7,399000,20000,No,2015/4/17,,0,252000,280000
X1 X1 xDrive20i 2.0T 手自一体 豪华型,LBVVZ5100CMA02271,CBM0320A0004,宝马,X1,2012,3,399000,23512,No,2015/4/21,4480,480,236220,263000
X1 X1 xDrive20i 2.0T 手自一体 豪华型,LBVVZ5100CMA02271,CBM0320A0004,宝马,X1,2012,3,399000,23565,No,2015/4/21,4480,480,236220,263000
A4 A4L 2.0TFSI 无级 35TFSI 豪华型,LFV3A28K1E3061996,CFA0420C0080,奥迪,A4,2012,8,399000,1782,No,2015/5/26,36400,480,279870,311500
A4 A4L 2.0TFSI 无级 35TFSI 豪华型,LFV3A28K9C3092006,CFA0420C0072,奥迪,A4,2012,8,399000,58391,No,2015/6/4,26383,2020,218480,245000
3系 318i 2.0 手自一体,LBVEY970X4SA43442,CBM0120A0001,宝马,3系,2004,4,398000,118090,No,2015/5/1,8417.8,6260,44140,56000
A6 A6L 2.0T 无级 标准型,LFV3A24F173044045,CFA0320C0006,奥迪,A6,2005,9,396300,137927,No,2015/6/13,4954,5180,90220,106000
A6 A6L 2.0T 无级 标准型,LFV3A24F363008579,CFA0320C0002,奥迪,A6,2005,9,396300,187127,No,2015/6/21,3972,2860,74540,86000
C级 C 200 K 1.8T 手自一体 时尚型,LE4GF4BB1AL105062,CBZ0218A0023,奔驰,C级,2009,1,395000,187014,No,2015/6/7,101100,3000,114000,130000
A6 A6L 2.0TFSI 无级 标准型,LFV3A24F2B3065656,CFA0320C0014,奥迪,A6,2011,1,389900,73075,No,2015/6/8,9820,2160,186840,210000
威霆 威霆 3.0 手自一体 商务版,LB1WA7B30E8039654,CFB0130A0004,奔驰,威霆,2013,5,389000,28914,No,2015/3/1,,1320,403680,450000
GL8 GL8 豪华商务车 3.0 手自一体 XT 旗舰版,LSGUA83B9BE077776,CGB0230A0094,别克,GL8,2010,11,388000,118168,No,2015/3/25,7180,270,224730,250000
C级 C 200 CGI 1.8T 手自一体 时尚型,LE4GF4JB1CL149681,CBZ0218A0033,奔驰,C级,2011,7,388000,62324,No,2015/6/2,42470,1620,187380,210000
3系 320i 2.0 手自一体 豪华型,LBVPS5109CSD65502,CBM0120A0046,宝马,3系,2011,11,388000,46437,No,2015/6/9,8000,640,169460,189000
3系 320i 2.0 手自一体 豪华型,LBVPS5109CSD65502,CBM0120A0046,宝马,3系,2011,11,388000,49007,No,2015/7/5,8000,640,169460,189000
3系 320i 2.0 手自一体 豪华型,LBVPS5109CSD65502,CBM0120A0046,宝马,3系,2011,11,388000,49178,No,2015/7/6,8000,760,168440,188000
Q5 Q5 2.0TFSI 手自一体 40TFSI quattro 进取型,LFV3B28R9E3053106,CFA0520A0027,奥迪,Q5,2013,4,383600,58064,No,2015/6/19,,1310,31990,37000
Q5 Q5 2.0TFSI 手自一体 进取型,LFV3B28R7D3021253,CFA0520A0018,奥迪,Q5,2011,11,383600,74781,No,2015/7/2,,1080,249120,278000
3系 320i 2.0 手自一体 豪华型,LBVPS5103BSD52128,CBM0120A0040,宝马,3系,2010,11,383000,39225,No,2015/1/31,27460,5000,170500,195000
皇冠 皇冠 2.5 手自一体 Royal Saloon,LFMBEK4B0C0084243,CFT0925A0080,丰田,皇冠,2012,7,379800,2706,No,2015/2/27,,320,210280,234000
Q5 Q5 2.0TFSI 手自一体 进取型,LFV3B28RXB3038089,CFA0520A0006,奥迪,Q5,2010,11,379800,129204,No,2015/6/4,,1460,205540,230000
A6 A6 1.8T 手自一体 基本型,LFVCA11B6Y3007926,CFA0318A0001,奥迪,A6,2000,1,376000,307076,No,2015/6/7,1300,6640,8660,17000
A4 A4L 2.0TFSI 无级 132kw技术型,LFV3A28K5A3009331,CFA0420C0047,奥迪,A4,2009,8,369800,72942,No,2015/5/8,17139,1120,156380,175000
3??? 320i 2.0 ?‰?è????�??“ é???…????,LBVVA96037SB22011,CBM0120A0012,宝马,3系,2006,3,369500,67456,No,2015/3/31,,1160,97840,110000
威霆 威霆 3.0 手自一体 精英型,LB1WA7B38D8035897,CFB0130A0001,奔驰,威霆,2013,5,369000,23126,No,2015/6/2,18100,0,234000,260000
A4 A4L 2.0TFSI 无级 132kw技术型,LFV3A28K993053618,CFA0420C0034,奥迪,A4,2009,1,361800,59600,No,2015/4/7,20083,0,160200,178000
3系 320Li 2.0T 手自一体 时尚型,LBV3M2108DMC02806,CBM0120A0064,宝马,3系,2013,10,358800,36982,No,2015/6/28,,640,223010,248500
3系 320Li 2.0T 手自一体 时尚型,LBV3M2104EMC40986,CBM0120A0120,宝马,3系,2014,9,358800,44618,No,2015/6/28,500,640,239660,267000
3系 320Li 2.0T 手自一体 时尚型,LBV3M2108DMC02806,CBM0120A0064,宝马,3系,2013,10,358800,36990,No,2015/7/5,,640,223010,248500
A6 A6 1.8T 手动 基本型,LFVBA14B133033916,CFA0318M0008,奥迪,A6,2003,1,358500,155070,No,2015/5/30,,3170,23830,30000
GL8 GL8 陆尊 3.0 自动 GT 7座精英版,LSGUD82C78E032037,CGB0230A0081,别克,GL8,2007,11,358000,106058,No,2015/5/26,,760,84740,95000
Q3 Q3 2.0TFSI 双离合 35TFSI quattro舒适型,LFV3B28U7E3033389,CFA0620D0010,奥迪,Q3,2013,4,356800,1500,No,2015/6/18,,0,240300,267000
3系 320Li 2.0T 手自一体 时尚型,LBV3M2108DMC02806,CBM0120A0057,宝马,3系,2012,7,354600,35784,No,2015/6/1,,320,224680,250000
